Date,Nom_Client,Prenom_Client,Email_Client,Produit,Region,Type_Client,Quantité,Prix_Unitaire,Coût_Unitaire,Bonus_%,Heure_d'achat
2026-04-13,Fall,Amadou,amadou.fall833@example.sn,Clavier,Thies,Standard,8,118,1166,10%,44369
2026-12-15,Traore,Khadija,khadija.traore328@example.sn,Souris,Kolda,Standard,17,1043,1019,5%,12322
2026-09-28,Ndiaye,Amadou,amadou.ndiaye882@example.sn,Souris,Kaolack,Standard,1,1435,1024,0%,86078
2026-04-17,Ba,Omar,omar.ba47@example.sn,Souris,Matam,Premium,16,335,268,0%,15023
2026-03-13,Traore,Seydou,seydou.traore575@example.sn,Smartphone,Ziguinchor,Premium,4,200,43,0%,40108
2026-07-08,Ba,Ibrahima,ibrahima.ba651@example.sn,Tablette,Louga,Standard,17,490,822,10%,49878
2026-01-21,Ba,Fatou,fatou.ba739@example.sn,Tablette,Kaolack,Standard,13,970,794,5%,53168
2026-04-13,Fall,Moussa,moussa.fall523@example.sn,Ecran,Ziguinchor,Standard,10,1249,40,5%,54552
2026-05-02,Ba,Ibrahima,ibrahima.ba255@example.sn,Ecran,Dakar,Standard,9,1102,185,0%,59653
2026-08-03,Sow,Awa,awa.sow149@example.sn,Imprimante,Saint-Louis,Standard,14,646,482,0%,11246
2026-11-27,Ndiaye,Ibrahima,ibrahima.ndiaye817@example.sn,Clavier,Kaolack,Standard,17,790,768,0%,5382
2026-03-29,Diop,Khadija,khadija.diop267@example.sn,Clavier,Dakar,Standard,3,734,81,5%,17557
2026-04-10,Diop,Ibrahima,ibrahima.diop626@example.sn,Casque,Saint-Louis,Standard,1,602,958,10%,59890
2026-12-26,Diop,Awa,awa.diop390@example.sn,Casque,Kaolack,Standard,1,762,1016,0%,62764
2026-06-01,Ba,Amadou,amadou.ba857@example.sn,Ecran,Kolda,Premium,2,424,905,0%,39903
2026-05-11,Diallo,Omar,omar.diallo487@example.sn,Smartphone,Saint-Louis,Standard,16,480,242,5%,14434
2026-05-30,Traore,Amadou,amadou.traore194@example.sn,Clavier,Saint-Louis,Premium,9,661,86,10%,86107
2026-11-05,Traore,Amadou,amadou.traore312@example.sn,Casque,Kaolack,Standard,14,1458,1014,0%,26101
2026-09-15,Ba,Awa,awa.ba503@example.sn,Smartphone,Kolda,Standard,1,1424,1011,0%,85641
2026-12-10,Sow,Penda,penda.sow765@example.sn,Tablette,Kolda,VIP,3,965,40,0%,10609
2026-10-21,Sow,Fatou,fatou.sow173@example.sn,Imprimante,Dakar,Standard,18,1293,59,0%,11927
2026-07-11,Cisse,Awa,awa.cisse653@example.sn,Clavier,Matam,Standard,1,543,750,0%,34287
2026-10-04,Ba,Amadou,amadou.ba212@example.sn,Laptop,Tambacounda,Standard,11,1220,52,0%,32387
2026-06-10,Gaye,Ibrahima,ibrahima.gaye417@example.sn,Clavier,Dakar,Standard,5,626,848,0%,32943
2026-11-10,Fall,Fatou,fatou.fall219@example.sn,Casque,Thies,VIP,11,251,767,0%,47319
2026-01-22,Diop,Moussa,moussa.diop868@example.sn,Clavier,Tambacounda,Standard,6,462,370,10%,32128
2026-09-10,Fall,Mariama,mariama.fall110@example.sn,Ecran,Ziguinchor,Standard,7,269,546,10%,47460
2026-08-24,Diop,Moussa,moussa.diop455@example.sn,Laptop,Louga,VIP,13,861,847,0%,81089
2026-12-11,Dramé,Khadija,khadija.dramé907@example.sn,Ecran,Thies,Standard,16,1456,285,0%,84148
2026-02-18,Dramé,Amadou,amadou.dramé792@example.sn,Clavier,Tambacounda,Premium,3,976,556,0%,15245
2026-02-28,Ba,Ibrahima,ibrahima.ba980@example.sn,Ecran,Ziguinchor,Standard,15,666,949,0%,36598
2026-06-19,Dramé,Penda,penda.dramé996@example.sn,Casque,Saint-Louis,Standard,8,300,241,0%,71741
2026-07-07,Diallo,Omar,omar.diallo570@example.sn,Tablette,Fatick,Standard,16,1024,411,5%,9251
2026-09-28,Cisse,Omar,omar.cisse377@example.sn,Casque,Dakar,Premium,17,1351,70,0%,73492
2026-07-09,Sow,Fatou,fatou.sow248@example.sn,Smartphone,Ziguinchor,Standard,13,798,332,0%,63128
2026-06-24,Diallo,Penda,penda.diallo736@example.sn,Ecran,Saint-Louis,Premium,3,764,1179,0%,34247
2026-02-20,Fall,Mariama,mariama.fall300@example.sn,Casque,Thies,Standard,3,1127,787,0%,57971
2026-12-30,Fall,Moussa,moussa.fall381@example.sn,Smartphone,Saint-Louis,Standard,13,487,370,0%,52301
2026-02-24,Dramé,Mariama,mariama.dramé871@example.sn,Clavier,Tambacounda,VIP,17,1284,506,5%,22147
2026-09-01,Sow,Seydou,seydou.sow440@example.sn,Smartphone,Kaolack,Standard,14,567,896,0%,46546
2026-11-16,Cisse,Moussa,moussa.cisse289@example.sn,Ecran,Thies,Standard,5,1274,1040,10%,14301
2026-05-11,Diop,Moussa,moussa.diop476@example.sn,Souris,Thies,VIP,12,925,963,0%,59355
2026-11-03,Diallo,Moussa,moussa.diallo325@example.sn,Clavier,Saint-Louis,Standard,16,846,321,10%,74970
2026-05-15,Cisse,Ibrahima,ibrahima.cisse998@example.sn,Smartphone,Thies,Standard,6,1116,861,10%,44988
2026-01-21,Ndiaye,Awa,awa.ndiaye86@example.sn,Ecran,Louga,Standard,9,756,584,0%,79652
2026-11-25,Traore,Ibrahima,ibrahima.traore825@example.sn,Ecran,Thies,Standard,16,1059,709,5%,63403
2026-06-16,Dramé,Omar,omar.dramé160@example.sn,Casque,Dakar,Standard,4,297,559,0%,4738
2026-10-01,Diop,Ibrahima,ibrahima.diop405@example.sn,Laptop,Matam,VIP,6,1438,947,5%,34587
2026-03-30,Ndiaye,Mariama,mariama.ndiaye505@example.sn,Clavier,Tambacounda,Standard,19,1391,234,0%,29138
2026-11-12,Diop,Ibrahima,ibrahima.diop306@example.sn,Smartphone,Kaolack,Standard,1,830,108,10%,55909
2026-01-14,Diop,Awa,awa.diop678@example.sn,Laptop,Thies,Standard,8,1444,557,5%,76502
2026-08-30,Dramé,Fatou,fatou.dramé719@example.sn,Ecran,Kaolack,Standard,6,237,502,5%,53560
2026-09-22,Diop,Penda,penda.diop956@example.sn,Smartphone,Thies,Standard,3,320,866,5%,70905
2026-12-12,Cisse,Fatou,fatou.cisse905@example.sn,Imprimante,Ziguinchor,Premium,14,1331,952,0%,83933
2026-02-22,Cisse,Seydou,seydou.cisse416@example.sn,Smartphone,Fatick,Standard,2,675,1156,0%,32424
2026-12-06,Ndiaye,Omar,omar.ndiaye296@example.sn,Smartphone,Louga,Standard,16,1315,126,0%,32365
2026-04-02,Fall,Seydou,seydou.fall502@example.sn,Casque,Thies,Premium,13,143,643,0%,4010
